LOINC_NUM,COMPONENT
75867-2,HEDIS 2015-2018 Value Set - Cholesterol Tests Other Than LDL
75884-7,Coagulation surface induced.lupus sensitive/Coagulation surface induced.lupus sensitive.excess phospholipid
77964-5,Cholesterol crystals
78518-8,Cholesterol
81021-8,Cholesterol intake
81022-6,Cholesterol intake
85155-0,Evaluation and management of hyperlipidemia note
85165-9,Evaluation and management of hyperlipidemia note
86911-5,Cholesterol.in LDL goal
88012-0,Sialate.lipid bound/Creatinine
88655-6,Hyperlipidemia
90364-1,Cholesterol.in LDL.small dense
90987-9,HEDIS 2019-2020 Value Set - Cholesterol Tests Other Than LDL
91105-7,Cholesterol.in LDL 1
91106-5,Cholesterol.in LDL 2
91107-3,Cholesterol.in LDL 3
91108-1,Cholesterol.in LDL 4
91109-9,Cholesterol.in LDL 5
91110-7,Cholesterol.in LDL 6
91111-5,Cholesterol.in LDL 7
91112-3,Cholesterol.in LDL 1
91113-1,Cholesterol.in LDL 2
91114-9,Cholesterol.in LDL 3
91115-6,Cholesterol.in LDL 4
91116-4,Cholesterol.in LDL 5
91117-2,Cholesterol.in LDL 6
91118-0,Cholesterol.in LDL 7
92764-0,7-Ketocholesterol
9322-9,Cholesterol.total/Cholesterol.in HDL
9342-7,Cholesterol
93504-9,Cholesterol crystals
9413-6,Lipids
94872-9,Cholesterol & triglyceride panel
95126-9,Lipid & glucose panel
95808-2,Cholesterol & triglyceride & chylomicrons panel
96076-5,HEDIS Measurement Year 2020 Value Set - Cholesterol Tests Other Than LDL
9618-0,Cholesterol
96258-9,Cholesterol.in LDL
96259-7,Cholesterol.in LDL
96588-9,Cholesterol
96589-7,Cholesterol.total/Cholesterol.in HDL
96596-2,Cholesterol.in HDL
96597-0,Cholesterol.in LDL
96959-2,Cholesterol.in LDL.small dense
9830-1,Cholesterol.total/Cholesterol.in HDL
9832-7,Cholesterol.in HDL 2
9833-5,Cholesterol.in HDL 3
99061-4,Cholesterol.esterified actual/normal
99878-1,Lipids
99879-9,Lipids
99880-7,Lipids
